City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,acapulco,16.8634,-99.8901,28.33,64,3,4.56,MX,1673898473
171,marsa matruh,31.3525,27.2453,15.11,77,40,2.57,EG,1673898474
172,neiafu,-18.65,-173.9833,29.38,84,40,4.63,TO,1673898474
173,narsaq,60.9167,-46.05,-24.11,70,4,4.64,GL,1673898475
174,talcahuano,-36.7167,-73.1167,20.82,52,0,6.17,CL,1673898475
175,corinto,37.9407,22.9573,14.38,75,32,2.03,GR,1673898476
176,alta floresta,-9.8756,-56.0861,28.29,75,92,2.08,BR,1673898476
177,kahului,20.8947,-156.47,25.47,77,40,2.68,US,1673898257
178,villa maria,-32.4075,-63.2402,37.12,24,7,4.96,AR,1673898477
179,kaitangata,-46.2817,169.8464,15.31,76,96,2.61,NZ,1673898478
180,batagay,67.6333,134.6333,-45.97,99,93,0.33,RU,1673898479
181,cabanglasan,8.1214,125.3275,22.07,98,96,0.41,PH,1673898480
182,kilmallock,52.4,-8.5772,0.65,82,100,1.34,IE,1673898480
183,zyryanovsk,49.7386,84.2719,-17.92,98,100,0.15,KZ,1673898481
184,nakatsu,33.5981,131.1883,5.94,80,59,1.88,JP,1673898482
185,severo-kurilsk,50.6789,156.125,-9.3,65,50,3.29,RU,1673898483
186,carnarvon,-24.8667,113.6333,21.89,67,0,10.97,AU,1673898483
187,port hedland,-20.3167,118.5667,28.03,83,100,0.0,AU,1673898405
188,vukovar,45.3433,18.9997,4.48,93,0,3.09,HR,1673898484
189,sangueya,10.7,-14.3667,23.42,74,20,1.78,GN,1673898485
190,kloulklubed,7.0419,134.2556,23.28,76,100,2.3,PW,1673898485
191,namibe,-15.1961,12.1522,23.44,78,96,2.25,AO,1673898486
192,pa sang,18.5262,98.9394,19.36,55,1,0.34,TH,1673898487
193,mbanza-ngungu,-5.25,14.8667,19.61,89,100,0.58,CD,1673898488
194,gouyave,12.1646,-61.7296,28.43,74,40,5.14,GD,1673898489
195,touros,-5.1989,-35.4608,27.24,69,10,5.45,BR,1673898490
196,kumba,4.6363,9.4469,24.09,75,64,1.21,CM,1673898490
197,moerai,-22.4333,-151.3333,25.62,80,99,9.29,PF,1673898491
198,sistranda,63.7256,8.834,0.98,68,9,4.24,NO,1673898411
199,korla,41.7597,86.1469,-15.5,95,84,1.08,CN,1673898493
200,san patricio,28.017,-97.5169,28.42,47,27,2.91,US,1673898493
201,mogadishu,2.0371,45.3438,24.98,78,13,8.41,SO,1673898427
202,saint-joseph,-21.3667,55.6167,25.21,78,16,5.02,RE,1673898495
203,airai,-8.9266,125.4092,15.74,90,100,0.6,TL,1673898496
204,oistins,13.0667,-59.5333,29.05,65,40,5.66,BB,1673898496
205,natal,-5.795,-35.2094,29.36,69,40,8.75,BR,1673898497
206,lagoa,39.05,-27.9833,14.0,73,23,7.14,PT,1673898498
207,saryagash,41.4511,69.1701,-11.02,87,5,1.96,KZ,1673898498
208,te anau,-45.4167,167.7167,16.06,71,10,1.05,NZ,1673898499
209,byron bay,-28.65,153.6167,18.86,81,74,3.52,AU,1673898299
